Nºbits,p,k,tiempo
32,2703258601,270357005,0.21433806419372559
32,2703258601,204486838,0.2108626365661621
32,2703258601,1188712171,0.221571683883667
32,2703258601,1292823821,0.2460334300994873
32,2703258601,259025660,0.19703269004821777
32,2703258601,743495674,0.20104002952575684
32,2703258601,1228338976,0.19856882095336914
32,2703258601,932521466,0.19997072219848633
32,2703258601,1269433071,0.21152305603027344
32,2703258601,1009399288,0.19246864318847656
36,66993967457,1875864742,1.1475768089294434
36,66993967457,22738119117,1.1963088512420654
36,66993967457,23330940362,1.2861509323120117
36,66993967457,6669465237,1.1979045867919922
36,66993967457,21960936778,1.1844151020050049
36,66993967457,27197290737,1.1898977756500244
36,66993967457,11068087336,1.1559791564941406
36,66993967457,13981492036,1.2000231742858887
36,66993967457,21526959423,1.1723511219024658
36,66993967457,28945343100,1.176853895187378
40,927498176207,37164577312,5.030386924743652
40,927498176207,172709304067,5.066877841949463
40,927498176207,150550050043,5.09583306312561
40,927498176207,243774646148,5.043477296829224
40,927498176207,378188682975,5.299980878829956
40,927498176207,216695386018,5.010672330856323
40,927498176207,339524646304,5.1407482624053955
40,927498176207,266076117689,5.065563678741455
40,927498176207,40027009539,4.9593353271484375
40,927498176207,450390698100,5.169117212295532
44,10876265372701,5428155884166,19.144591331481934
44,10876265372701,1952115278982,18.744056224822998
44,10876265372701,1574723234063,19.46124815940857
44,10876265372701,4513363522037,18.976162433624268
44,10876265372701,5161654904651,19.259773015975952
44,10876265372701,1118214035907,18.608283042907715
44,10876265372701,704803473961,18.262638807296753
44,10876265372701,1828898618944,18.842220306396484
44,10876265372701,3540873327456,18.872922897338867
44,10876265372701,3093992043390,19.14269781112671
48,149883250766927,32239190706826,76.78040385246277
48,149883250766927,24466119073603,75.94185853004456
48,149883250766927,2152271475384,75.22880983352661
48,149883250766927,1319021491625,75.33163905143738
48,149883250766927,40772795501282,75.34455227851868
48,149883250766927,44304862319861,73.47260808944702
48,149883250766927,59239681460087,74.1163969039917
48,149883250766927,69642530868698,74.21541380882263
48,149883250766927,69339009189291,73.64427614212036
48,149883250766927,339393614926,74.4221556186676
